BenchMarkFunction, Test Number, Harmony Memory Size Test Number, Dimensions, Search Range, Adjustment Range, Harmony Memory Size, Acceptance Rate, Best Result, Current Result, Coordenadas ,,,,,,,,,,,,,,,,,,,
sphere,6,14,1,-20,0.7,20,0.95,4.66E-09,undefined,6.82938E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,6,15,1,-20,0.7,20,0.95,4.66E-09,undefined,6.82938E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,6,16,1,-20,0.7,20,0.95,4.66E-09,undefined,6.82938E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,6,17,1,-20,0.7,20,0.95,4.66E-09,undefined,6.82938E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,6,18,1,-20,0.7,20,0.95,4.66E-09,undefined,6.82938E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,6,19,1,-20,0.7,20,0.95,4.66E-09,undefined,6.82938E-05,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,0,1,-20,0.7,20,0.95,1.8239E-05,0.00427071,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,1,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,2,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,3,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,4,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,5,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,6,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,7,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,8,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,9,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,10,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,11,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,12,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,13,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,14,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,15,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,16,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,17,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,18,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,7,19,1,-20,0.7,20,0.95,1.8239E-05,undefined,0.00427071,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,0,1,-20,0.7,20,0.95,8.46499E-06,-0.002909466,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,1,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,2,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,3,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,4,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,5,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,6,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,7,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,8,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,9,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,10,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,11,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,12,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,13,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,14,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,15,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,16,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,17,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,18,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,8,19,1,-20,0.7,20,0.95,8.46499E-06,undefined,-0.002909466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,0,1,-20,0.7,20,0.95,5.43E-07,0.000736772,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,1,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,2,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,3,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,4,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,5,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,6,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,7,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,8,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,9,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,10,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,11,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,12,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,13,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,14,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,15,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,16,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,17,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,18,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,9,19,1,-20,0.7,20,0.95,5.43E-07,undefined,0.000736772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,0,1,-20,0.7,20,0.95,9.63E-07,0.000981177,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,1,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,2,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,3,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,4,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,5,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,6,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,7,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,8,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,9,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,10,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,11,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,12,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,13,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,14,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,15,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,16,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,17,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,18,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,10,19,1,-20,0.7,20,0.95,9.63E-07,undefined,0.000981177,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,0,1,-20,0.7,20,0.95,1.62E-08,0.000127343,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,1,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,2,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,3,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,4,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,5,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,6,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,7,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,8,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,9,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,10,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,11,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,12,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,13,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,14,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,15,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,16,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,17,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,18,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,11,19,1,-20,0.7,20,0.95,1.62E-08,undefined,0.000127343,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,12,0,1,-20,0.7,20,0.95,2.55378E-06,0.001598056,0.001598056,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,12,1,1,-20,0.7,20,0.95,2.55378E-06,undefined,0.001598056,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,12,2,1,-20,0.7,20,0.95,2.55378E-06,undefined,0.001598056,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,12,3,1,-20,0.7,20,0.95,2.55378E-06,undefined,0.001598056,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,12,4,1,-20,0.7,20,0.95,2.55378E-06,undefined,0.001598056,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,12,5,1,-20,0.7,20,0.95,2.55378E-06,undefined,0.001598056,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,12,6,1,-20,0.7,20,0.95,2.55378E-06,undefined,0.001598056,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,12,7,1,-20,0.7,20,0.95,2.55378E-06,undefined,0.001598056,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,12,8,1,-20,0.7,20,0.95,2.55378E-06,undefined,0.001598056,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,12,9,1,-20,0.7,20,0.95,2.55378E-06,undefined,0.001598056,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,12,10,1,-20,0.7,20,0.95,2.55378E-06,undefined,0.001598056,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
sphere,12,11,1,-20,0.7,20,0.95,2.55378E-06,undefined,0.001598056,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
